iter	Passed	Remaining
987	14496	176
988	14510	161
989	14524	146
990	14538	132
991	14554	117
992	14568	102
993	14582	88
994	14596	73
995	14611	58
996	14625	44
997	14640	29
998	14656	14
999	14668	0
